title,election,year,type,status,percent,topics,topics2,topics3,topics4,topics5,topics6
"
 Mental Health Services Expansion and Funding. Tax on Incomes over $1 Million. Initiative Statute.",General,2004,Initiative,Pass (Yes votes: 53.8%),53.80%,Health,Tax & Revenue,,,,
"
 Taxation4",General,1924,Legislative Referendum,Pass (Yes votes: 53.8%),53.80%,Tax & Revenue,,,,,
"
 The State School Building Aid and Earthquake Reconstruction and Replacement Bond Law of 1972",Primary,1972,Legislative Referendum,Pass (Yes votes: 53.8%),53.80%,Bond Measures,Education: PreK-12,,,,
"
 County Charters1",General,1914,Legislative Referendum,Pass (Yes votes: 53.7%),53.70%,Local Government,,,,,
"
 State Occupational Safety And Health Plan.",General,1988,Initiative,Pass (Yes votes: 53.7%),53.70%,Budgets,Health,Labor & Employment,,,
"
 Veterans' Bond Act of 1996",General,1996,Legislative Referendum,Pass (Yes votes: 53.6%),53.60%,Bond Measures,Military & Veterans Affairs,,,,
"
 Clean Water and Water Conservation Bond Law of 1978",Primary,1978,Legislative Referendum,Pass (Yes votes: 53.5%),53.50%,Bond Measures,Environmental Protection,Natural Resources,,,
"
 Local Agencies - Insurance Pooling Arrangements",Primary,1978,Legislative Referendum,Pass (Yes votes: 53.5%),53.50%,Insurance,Labor & Employment,Local Government,,,
"
 County Superintendents of Schools and Boards of Education",General,1976,Legislative Referendum,Pass (Yes votes: 53.4%),53.40%,Education: PreK-12,Local Government,,,,
"
 Homeowners' Property Tax Exemption",General,1968,Legislative Referendum,Pass (Yes votes: 53.4%),53.40%,Tax & Revenue,,,,,
"
 Local Sales and Use Taxes-Revenue Sharing. Legislative Constitutional Amendment.",General,1998,Legislative Referendum,Pass (Yes votes: 53.4%),53.40%,Local Government,Tax & Revenue,,,,
"
 Property Taxation. Seismic Safety Construction Exclusion. ",Primary,1984,Legislative Referendum,Pass (Yes votes: 53.3%),53.30%,Tax & Revenue,,,,,
"
 Rail Transportation. Bond Act. Initiative Statute",Primary,1990,Initiative,Pass (Yes votes: 53.3%),53.30%,Bond Measures,Transportation,,,,
"
 Water Resources Development and Protection",General,1980,Legislative Referendum,Pass (Yes votes: 53.3%),53.30%,Natural Resources,,,,,
"
 Public Pension Fund Investments.",Primary,1984,Legislative Referendum,Pass (Yes votes: 53.2%),53.20%,Banking & Financial Services,Labor & Employment,Local Government,State Government,,
"
 1998 Indian Gaming Compacts. Referendum Statute.",Primary,2000,Popular Referendum,Pass (Yes votes: 53.1%),53.10%,Gambling & Lotteries,State-Tribal Relations,,,,
"
 Legislature: Rules, Procedures, Powers, Funding.",Primary,1984,Initiative,Pass (Yes votes: 53.1%),53.10%,Legislatures,,,,,
"
 San Francisco Bay Exposition",General,1938,Legislative Referendum,Pass (Yes votes: 53.1%),53.10%,Arts & Culture,Local Government,Tax & Revenue,,,
"
 California State Lottery. Allocation for Instructional
Materials. Legislative Initiative Amendment.
",Primary,2000,Legislative Referendum,Pass (Yes votes: 53.0%),53.00%,Education: Higher Ed,Education: PreK-12,Gambling & Lotteries,,,
"
 Exempting Educational Institutions from Taxation1",General,1914,Legislative Referendum,Pass (Yes votes: 53.0%),53.00%,Education: PreK-12,Tax & Revenue,,,,
"
 School Facilities. 55% Local Vote. Bonds, Taxes. Accountability Requirements. Initiative Constitutional Amendment and Statute.",General,2000,Initiative,Pass (Yes votes: 53%),53%,Education: PreK-12,Elections,Tax & Revenue,,,
"
 City of Venice Indebtedness",General,1918,Legislative Referendum,Pass (Yes votes: 52.9%),52.90%,Local Government,,,,,
"
 Lake Tahoe Acquisitions Bond Act",General,1982,Legislative Referendum,Pass (Yes votes: 52.9%),52.90%,Bond Measures,Natural Resources,,,,
"
 Limiting Congressional Terms. Proposed U.S. Constitutional Amendment.",Primary,1998,Initiative,Pass (Yes votes: 52.9%),52.90%,Federal Government,Term Limits,,,,
"
 Relief to Assessment Districts",General,1936,Legislative Referendum,Pass (Yes votes: 52.9%),52.90%,Local Government,,,,,
"
 School Facilities Bond Act of 1992",Primary,1992,Legislative Referendum,Pass (Yes votes: 52.9%),52.90%,Bond Measures,Education: PreK-12,,,,
"
 Irrigation District Act",General,1920,Popular Referendum,Pass (Yes votes: 52.8%),52.80%,Agriculture,Local Government,,,,
"
 Legislative Campaigns. Spending and Contribution Limits. Partial Public Funding.",Primary,1988,Initiative,Pass (Yes votes: 52.8%),52.80%,Ethics/Lobbying/Campaign Finance,,,,,
"
 Motor Vehicle Taxes - Local Surplus Property",Primary,1976,Legislative Referendum,Pass (Yes votes: 52.8%),52.80%,Local Government,,,,,
"
 Regulation of Public Utilities",General,1914,Legislative Referendum,Pass (Yes votes: 52.8%),52.80%,Energy & Electric Utilities,,,,,
"
 Library Construction And Renovation Bond Act Of 1988",General,1988,Legislative Referendum,Pass (Yes votes: 52.7%),52.70%,Arts & Culture,Bond Measures,,,,
"
 Municipal Courts1",General,1934,Legislative Referendum,Pass (Yes votes: 52.7%),52.70%,Judiciary,Local Government,,,,
"
 Political Subdivisions Incurring Indebtedness",General,1926,Legislative Referendum,Pass (Yes votes: 52.7%),52.70%,Local Government,,,,,
"
 Safe, Reliable High-Speed Passenger Train Bond Act",General,2008,Legislative Referendum,Pass (Yes votes: 52.7%),52.70%,Bond Measures,Transportation,,,,
"
 Appellate Court Divisions",General,1918,Legislative Referendum,Pass (Yes votes: 52.6%),52.60%,Judiciary,,,,,
"
 Charters of Cities, or Cities and Counties",General,1936,Legislative Referendum,Pass (Yes votes: 52.6%),52.60%,Local Government,,,,,
"
 Constitutional Officers. Compensation.",General,1944,Legislative Referendum,Pass (Yes votes: 52.5%),52.50%,Labor & Employment,State Government,,,,
"
 Requires that Certain State and Local Fees Be Approved by Two-Thirds Vote. Fees Include Those that Address Adverse Impacts on Society or the Environment Caused by Fee-Payer's Business. Initiative Constitutional Amendment.",General,2010,Initiative,Pass (Yes votes: 52.5%),52.50%,Elections,Legislatures,Tax & Revenue,,,
"
 Housing And Homeless Bond Act Of 1990",Primary,1990,Legislative Referendum,Pass (Yes votes: 52.4%),52.40%,Bond Measures,Human Services,,,,
"
 Irritation Districts and Transfer of Funds",General,1926,Legislative Referendum,Pass (Yes votes: 52.4%),52.40%,Agriculture,Local Government,,,,
"
 Sacramento State Building Bonds",General,1914,Legislative Referendum,Pass (Yes votes: 52.4%),52.40%,Bond Measures,State Government,,,,
"
 Selection of Judges",General,1934,Initiative,Pass (Yes votes: 52.4%),52.40%,Elections,Judiciary,,,,
"
 The Traffic Congestion Relief And Spending Limitation Act Of 1990",Primary,1990,Legislative Referendum,Pass (Yes votes: 52.4%),52.40%,Transportation,,,,,
"
 Wildlife Protection. Initiative Statute",Primary,1990,Initiative,Pass (Yes votes: 52.4%),52.40%,Animal Rights/Hunting & Fishing,Budgets,Natural Resources,,,
"
 Eliminates Right of Same-Sex Couples to Marry. Initiative Constitutional Amendment.",General,2008,Initiative,Pass (Yes votes: 52.3%),52.30%,Civil & Constitutional Law,,,,,
"
 Nuclear Weapons.",General,1982,Initiative,Pass (Yes votes: 52.3%),52.30%,Federal Government,,,,,
"
 Pay of Legislators1",General,1954,Legislative Referendum,Pass (Yes votes: 52.3%),52.30%,Legislatures,,,,,
"
 Limits on Terms of Office. Legislators' Retirement. Legislative Operating Costs. Initiative Constitutional Amendment.",General,1990,Initiative,Pass (Yes votes: 52.2%),52.20%,Legislatures,State Government,Term Limits,,,
"
 Legislative Committees",General,1940,Legislative Referendum,Pass (Yes votes: 52.1%),52.10%,Legislatures,,,,,
"
 Usury Law1",General,1918,Initiative,Pass (Yes votes: 52.1%),52.10%,Banking & Financial Services,,,,,
"
 Abolition of Poll Tax",General,1914,Initiative,Pass (Yes votes: 52.0%),52.00%,Civil & Constitutional Law,Elections,,,,
"
 City Charters - Boards of Education",Primary,1978,Legislative Referendum,Pass (Yes votes: 52.0%),52.00%,Education: PreK-12,Local Government,,,,
"
 Compensation of Officers, Increase During Term",General,1944,Legislative Referendum,Pass (Yes votes: 52.0%),52.00%,Labor & Employment,State Government,,,,
"
 County Officers",General,1924,Legislative Referendum,Pass (Yes votes: 52.0%),52.00%,Local Government,,,,,
"
 Prohibition Enforcement Act1",General,1922,Popular Referendum,Pass (Yes votes: 52.0%),52.00%,Business & Commerce,Civil & Constitutional Law,Criminal Justice,Drug/Alcohol/Tobacco Policy,,
"
 Elected Officials. Disqualification for Libelous or Slanderous Campaign Statements. ",Primary,1984,Legislative Referendum,Pass (Yes votes: 51.9%),51.90%,Ethics/Lobbying/Campaign Finance,,,,,
"
 1992 School Facilities Bond Act",General,1992,Legislative Referendum,Pass (Yes votes: 51.8%),51.80%,Bond Measures,Education: PreK-12,,,,
"
 Right to Assistance of Counsel",Primary,1972,Legislative Referendum,Pass (Yes votes: 51.8%),51.80%,Criminal Justice,,,,,
"
 School Facilities Bond Act of 1990",General,1990,Legislative Referendum,Pass (Yes votes: 51.8%),51.80%,Bond Measures,Education: PreK-12,,,,
"
 Property Taxation. Transfer of Base Year Value. Legislative Constitutional Amendment.",Special,1993,Legislative Referendum,Pass (Yes votes: 51.7%),51.70%,Tax & Revenue,,,,,
"
 Exempting Veterans from Taxation",General,1922,Legislative Referendum,Pass (Yes votes: 51.6%),51.60%,Military & Veterans Affairs,Tax & Revenue,,,,
"
 Organization of County Within Consolidated City and County Government",General,1918,Legislative Referendum,Pass (Yes votes: 51.6%),51.60%,Local Government,,,,,
"
 Property Tax Exemption. Legislative Constitutional Amendment.",General,1992,Legislative Referendum,Pass (Yes votes: 51.6%),51.60%,Tax & Revenue,,,,,
"
 State Employees Retirement Salaries",General,1930,Legislative Referendum,Pass (Yes votes: 51.6%),51.60%,Labor & Employment,State Government,,,,
"
 State Indebtedness1",Primary,1960,Legislative Referendum,Pass (Yes votes: 51.6%),51.60%,Budgets,State Government,,,,
"
 Voting Modernization Bond Act of 2002. (Shelley-Hertzberg Act)",Primary,2002,Legislative Referendum,Pass (Yes votes: 51.6%),51.60%,Bond Measures,Elections,,,,
"
 Environmental Pollution Bond Authorization",General,1972,Legislative Referendum,Pass (Yes votes: 51.5%),51.50%,Bond Measures,Environmental Protection,,,,
"
 Exempting Orphanages from Taxation",General,1920,Legislative Referendum,Pass (Yes votes: 51.5%),51.50%,Human Services,Tax & Revenue,,,,
"
 Nejedly-Hart State, Urban and Coastal Park Bond Act of 1976",General,1976,Legislative Referendum,Pass (Yes votes: 51.5%),51.50%,Arts & Culture,Bond Measures,Natural Resources,,,
"
 The California Water Resources Development Bond Act",General,1960,Legislative Referendum,Pass (Yes votes: 51.5%),51.50%,Bond Measures,Natural Resources,,,,
"
 Constitutional Convention1",General,1934,Legislative Referendum,Pass (Yes votes: 51.4%),51.40%,Civil & Constitutional Law,,,,,
"
 Compensation of Local Officers1",General,1962,Legislative Referendum,Pass (Yes votes: 51.3%),51.30%,Labor & Employment,Local Government,,,,
"
 Apportionment of Local Sales and Use Tax",General,1968,Legislative Referendum,Pass (Yes votes: 51.2%),51.20%,State Government,Tax & Revenue,,,,
"
 Interest Rate - Judgments",Primary,1978,Legislative Referendum,Pass (Yes votes: 51.2%),51.20%,Judiciary,,,,,
"
 Partial Constitutional Revision: Local Government",Primary,1970,Legislative Referendum,Pass (Yes votes: 51.2%),51.20%,Civil & Constitutional Law,Local Government,,,,
"
 Borough Government Permanency",General,1918,Legislative Referendum,Pass (Yes votes: 51.1%),51.10%,Local Government,,,,,
"
 Constitutional Amendments",General,1970,Legislative Referendum,Pass (Yes votes: 51.1%),51.10%,Elections-Initiative Process,,,,,
"
 Insurance Rates, Regulation, Commissioner.",General,1988,Initiative,Pass (Yes votes: 51.1%),51.10%,Insurance,State Government,,,,
"
 Aged and Blind Act1",General,1948,Initiative,Pass (Yes votes: 51%),51%,Human Services,,,,,
"
 Boxing and Wrestling Contests2",General,1924,Initiative,Pass (Yes votes: 51.0%),51.00%,Business & Commerce,,,,,
"
 Business Loans for Veterans",General,1946,Legislative Referendum,Pass (Yes votes: 51.0%),51.00%,Business & Commerce,Military & Veterans Affairs,Tax & Revenue,,,
"
 Public Employees' Retirement Systems. Initiative Constitutional Amendment.",General,1992,Initiative,Pass (Yes votes: 51.0%),51.00%,Labor & Employment,Local Government,State Government,,,
"
 Railroad Brakemen",General,1948,Initiative,Pass (Yes votes: 51%),51%,Labor & Employment,Transportation,,,,
"
 State Indebtedness3",General,1956,Legislative Referendum,Pass (Yes votes: 51.0%),51.00%,Budgets,Elections,,,,
"
 State School Fund",General,1964,Legislative Referendum,Pass (Yes votes: 51.0%),51.00%,Budgets,Education: PreK-12,Federal Government,,,
"
 Transfer Of Funds By Local Governments.",General,1982,Legislative Referendum,Pass (Yes votes: 51.0%),51.00%,Budgets,Local Government,,,,
"
 Absent Voters1",General,1922,Legislative Referendum,Pass (Yes votes: 50.9%),50.90%,Elections,,,,,
"
 Kindergarten-University Public Education Facilities Bond Act of 2004.",Primary,2004,Legislative Referendum,Pass (Yes votes: 50.9%),50.90%,Bond Measures,Education: Higher Ed,Education: PreK-12,,,
"
 Property Taxation: Relief in Event of Disaster2",General,1966,Legislative Referendum,Pass (Yes votes: 50.9%),50.90%,Human Services,Tax & Revenue,,,,
"
 Redistricting. Initiative Constitutional Amendment and Statute.",General,2008,Initiative,Pass (Yes votes: 50.9%),50.90%,Redistricting,,,,,
"
 State Capitol Maintenance.",Primary,1980,Legislative Referendum,Pass (Yes votes: 50.9%),50.90%,Insurance,,,,,
"
 State Funds: Hospital Construction",General,1952,Legislative Referendum,Pass (Yes votes: 50.9%),50.90%,Budgets,Health,,,,
"
 Higher Education Facilities Bond Act of June 1992",Primary,1992,Legislative Referendum,Pass (Yes votes: 50.8%),50.80%,Bond Measures,Education: Higher Ed,,,,
"
 Poll Taxes",General,1924,Legislative Referendum,Pass (Yes votes: 50.8%),50.80%,Civil & Constitutional Law,Elections,,,,
"
 Property Taxation. Fire Protection System Exclusion of 1984",General,1984,Legislative Referendum,Pass (Yes votes: 50.8%),50.80%,Tax & Revenue,,,,,
"
 Public Housing Projects. Requiring Election to Establish",General,1950,Initiative,Pass (Yes votes: 50.8%),50.80%,Human Services,,,,,
"
 Taxation: Welfare Exemption of Nonprofit School Property",General,1952,Popular Referendum,Pass (Yes votes: 50.8%),50.80%,Education: PreK-12,Tax & Revenue,,,,
"
 Los Angeles County Funds",General,1918,Legislative Referendum,Pass (Yes votes: 50.7%),50.70%,Local Government,,,,,
"
 School Funding.",General,1988,Initiative,Pass (Yes votes: 50.7%),50.70%,Budgets,Education: PreK-12,,,,
"
 Tax Exemption for Veterans and Others",General,1926,Legislative Referendum,Pass (Yes votes: 50.7%),50.70%,Military & Veterans Affairs,Tax & Revenue,,,,
"
 Water Commission Act",General,1914,Popular Referendum,Pass (Yes votes: 50.7%),50.70%,Natural Resources,State Government,,,,
"
 Alcoholic Beverage Establishments",General,1956,Legislative Referendum,Pass (Yes votes: 50.6%),50.60%,Business & Commerce,Drug/Alcohol/Tobacco Policy,,,,
"
 Compensation of County Supervisors",General,1970,Legislative Referendum,Pass (Yes votes: 50.6%),50.60%,Labor & Employment,Local Government,,,,
"
 State and County Early Childhood Development Programs. Additional Tobacco Surtax. Initiative Constitutional Amendment and Statute.",General,1998,Initiative,Pass (Yes votes: 50.6%),50.60%,Drug/Alcohol/Tobacco Policy,Education: PreK-12,Health,Human Services,Tax & Revenue,
"
 Workmen's Compensation2",General,1918,Legislative Referendum,Pass (Yes votes: 50.6%),50.60%,Labor & Employment,,,,,
"
 Consolidation of City and County, and Limited Annexation of Contiguous Territory",General,1914,Initiative,Pass (Yes votes: 50.5%),50.50%,Local Government,,,,,
"
 General Legislative Session",General,1958,Legislative Referendum,Pass (Yes votes: 50.5%),50.50%,Legislatures,,,,,
"
 Legislative Budget Session",General,1956,Legislative Referendum,Pass (Yes votes: 50.5%),50.50%,Legislatures,,,,,
"
 State School Building Lease-Purchase Bond Law Of 1982.",General,1982,Legislative Referendum,Pass (Yes votes: 50.5%),50.50%,Bond Measures,Education: PreK-12,,,,
"
 Taxation of Publicly Owned Property",General,1968,Legislative Referendum,Pass (Yes votes: 50.5%),50.50%,Tax & Revenue,,,,,
"
 War Veterans Tax Exemption",General,1932,Legislative Referendum,Pass (Yes votes: 50.5%),50.50%,Military & Veterans Affairs,Tax & Revenue,,,,
"
 Miscellaneous Language Changes Regarding Gender",General,1974,Legislative Referendum,Pass (Yes votes: 50.4%),50.40%,Civil & Constitutional Law,,,,,
"
 State Colleges: Speaker Member of Governing Body",General,1970,Legislative Referendum,Pass (Yes votes: 50.4%),50.40%,Education: Higher Ed,,,,,
"
 Veterans' Bond Act of 1962",Primary,1962,Legislative Referendum,Pass (Yes votes: 50.3%),50.30%,Bond Measures,Military & Veterans Affairs,,,,
"
 Alternative Energy Sources Facility Financing.",Primary,1980,Legislative Referendum,Pass (Yes votes: 50.2%),50.20%,Energy & Electric Utilities,,,,,
"
 Penal Institutions for Punishment of Female Felons",General,1936,Legislative Referendum,Pass (Yes votes: 50.2%),50.20%,Criminal Justice,,,,,
"
 Institutions for Felons",General,1940,Legislative Referendum,Pass (Yes votes: 50.1%),50.10%,Criminal Justice,,,,,
"
 State Superintendents of Public Instruction",General,1946,Legislative Referendum,Pass (Yes votes: 50.1%),50.10%,Education: PreK-12,State Government,,,,
"
 Deddeh Transportation Bond Act",Primary,1988,Legislative Referendum,Fail (Yes votes: 49.99%),49.99%,Bond Measures,Transportation,,,,
"
 Elections: Prohibiting Cross-Filing",General,1952,Initiative,Fail (Yes votes: 49.96%),49.96%,Elections,,,,,
"
 Municipal Public Works",General,1922,Legislative Referendum,Fail (Yes votes: 49.9%),49.90%,Local Government,,,,,
"
 Terms of Judges Filling Vacancies",Special,1915,Legislative Referendum,Fail (Yes votes: 49.9%),49.90%,Judiciary,,,,,
"
 Constitutional Conventions",General,1914,Legislative Referendum,Fail (Yes votes: 49.8%),49.80%,Civil & Constitutional Law,,,,,
"
 Imposes Additional Tax on Cigarettes for Cancer Research",Primary,2012,Initiative,Fail (Yes votes: 49.8%),49.80%,Drug/Alcohol/Tobacco Policy,Health,Tax & Revenue,,,
"
 Inferior Court Judges2",General,1954,Legislative Referendum,Fail (Yes votes: 49.8%),49.80%,Judiciary,,,,,
"
 Salaries of Judges",General,1926,Legislative Referendum,Fail (Yes votes: 49.8%),49.80%,Judiciary,Labor & Employment,,,,
"
 State University Tax",General,1920,Initiative,Fail (Yes votes: 49.7%),49.70%,Education: Higher Ed,Tax & Revenue,,,,
"
 Court Review of Acts of Administrative Officers, Boards and Commissions",General,1940,Legislative Referendum,Fail (Yes votes: 49.6%),49.60%,State Government,,,,,
"
 Legislative Help - Limitation on Expenses Therefore",General,1930,Legislative Referendum,Fail (Yes votes: 49.5%),49.50%,Legislatures,,,,,
"
 Non-Sale of Game",General,1914,Popular Referendum,Fail (Yes votes: 49.4%),49.40%,Animal Rights/Hunting & Fishing,Business & Commerce,Criminal Justice,Gambling & Lotteries,,
"
 Water Infrastructure, Supply and Watershed Protection Bond Initiative",General,2018,Initiative,Fail (Yes votes: 49.4%),49.40%,Bond Measures,Budgets,Energy & Electric Utilities,Environmental Protection,Natural Resources,
"
 Board of Forestry Established",General,1942,Legislative Referendum,Fail (Yes votes: 49.2%),49.20%,Natural Resources,State Government,,,,
"
 Chiropractic3",General,1920,Initiative,Fail (Yes votes: 49.2%),49.20%,Health,,,,,
"
 Land Settlement Bond Act of 1921",General,1922,Legislative Referendum,Fail (Yes votes: 49.2%),49.20%,Bond Measures,,,,,
"
 State College System",General,1974,Legislative Referendum,Fail (Yes votes: 49.2%),49.20%,Education: Higher Ed,,,,,
"
 Top Income Tax Brackets. Reinstatement. Revenues to Local Agencies. Initiative Statute.",General,1996,Initiative,Fail (Yes votes: 49.2%),49.20%,Local Government,Tax & Revenue,,,,
"
 Veterans' Tax Exemption1",General,1948,Legislative Referendum,Fail (Yes votes: 49.2%),49.20%,Military & Veterans Affairs,Tax & Revenue,,,,
"
 Referendum Petition to Overturn Amendments to Health Care Coverage Requirements.",General,2004,Popular Referendum,Fail (Yes votes: 49.1%),49.10%,Health,Insurance,Labor & Employment,,,
"
 Spending Limits and Campaign Contributions. Repeals Gift and Honoraria Limits. Restricts Lobbyists. Initiative Statute.",General,1996,Initiative,Fail (Yes votes: 49.1%),49.10%,Ethics/Lobbying/Campaign Finance,,,,,
"
 Absent Voters3",General,1920,Legislative Referendum,Fail (Yes votes: 49.0%),49.00%,Elections,,,,,
"
 Loans by State for Energy Conservation Improvements in Residential Structures",General,1976,Legislative Referendum,Fail (Yes votes: 49.0%),49.00%,Banking & Financial Services,,,,,
"
 Vacancies in Specified Constitutional Offices",General,1970,Legislative Referendum,Fail (Yes votes: 49.0%),49.00%,Elections,State Government,,,,
"
 Appropriations Limit Adjustment.",Primary,1988,Initiative,Fail (Yes votes: 48.9%),48.90%,Budgets,Tax & Revenue,,,,
"
 Authorizing Agreements by Political Subdivisions for Joint Exercise of Powers",General,1934,Legislative Referendum,Fail (Yes votes: 48.9%),48.90%,Local Government,,,,,
"
 Attorney's Contingency Fees, Limits. Initiative Statute.",Primary,1996,Initiative,Fail (Yes votes: 48.8%),48.80%,Civil & Constitutional Law,Judiciary,,,,
"
 Higher Education Facilities Bond Act of November 1990",General,1990,Legislative Referendum,Fail (Yes votes: 48.8%),48.80%,Bond Measures,Education: Higher Ed,,,,
"
 Initiative and Referendum2",Special,1915,Legislative Referendum,Fail (Yes votes: 48.8%),48.80%,Elections-Initiative Process,,,,,
"
 Lake Tahoe Acquisitions Bond Act of 1980",General,1980,Legislative Referendum,Fail (Yes votes: 48.8%),48.80%,Bond Measures,Natural Resources,,,,
"
 School Facilities. Local Majority Vote. Bonds, Taxes. Initiative Constitutional Amendment and Statute.",Primary,2000,Initiative,Fail (Yes votes: 48.7%),48.70%,Bond Measures,Education: PreK-12,Elections,,,
"
 Property Tax Statements",General,1952,Legislative Referendum,Fail (Yes votes: 48.6%),48.60%,Tax & Revenue,,,,,
"
 Racing1",General,1932,Initiative,Fail (Yes votes: 48.6%),48.60%,Agriculture,Gambling & Lotteries,Military & Veterans Affairs,,,
"
 City Charter Provisions for Nomination and Election of Officers",General,1932,Legislative Referendum,Fail (Yes votes: 48.5%),48.50%,Elections,Local Government,,,,
"
 Partial Constitutional Revision: Future Constitutional Amendments, State Civil Service",Primary,1970,Legislative Referendum,Fail (Yes votes: 48.5%),48.50%,Civil & Constitutional Law,Labor & Employment,Local Government,,,
"
 Partial Constitutional Revision: Various",Primary,1970,Legislative Referendum,Fail (Yes votes: 48.5%),48.50%,Civil & Constitutional Law,,,,,
"
 Toxic Chemical Discharge. Public Agencies. Legislative Statute.",General,1990,Legislative Referendum,Fail (Yes votes: 48.5%),48.50%,Business & Commerce,Environmental Protection,Natural Resources,State Government,,
"
 Grand Juries",General,1952,Legislative Referendum,Fail (Yes votes: 48.4%),48.40%,Judiciary,,,,,
"
 Insurance Act",General,1920,Popular Referendum,Fail (Yes votes: 48.4%),48.40%,Insurance,,,,,
"
 Personal Income Taxes2",General,1966,Legislative Referendum,Fail (Yes votes: 48.4%),48.40%,Tax & Revenue,,,,,
"
 Rural Credits",Special,1915,Legislative Referendum,Fail (Yes votes: 48.4%),48.40%,Agriculture,Tax & Revenue,,,,
"
 Tax on Cigarettes. Initiative Constitutional Amendment and Statute. ",General,2006,Initiative,Fail (Yes votes: 48.3%),48.30%,Bond Measures,Drug/Alcohol/Tobacco Policy,Health,,,
"
 Taxation of Toll Bridges Acquired by State",General,1930,Legislative Referendum,Fail (Yes votes: 48.3%),48.30%,Tax & Revenue,Transportation,,,,
"
 Allows Auto Insurance Companies to Base Their Prices in Part on a Driver's History of Insurance Coverage. Initiative Statute.",Primary,2010,Initiative,Fail (Yes votes: 48.1%),48.10%,Insurance,,,,,
"
 Gasoline Tax",General,1926,Initiative,Fail (Yes votes: 48.1%),48.10%,Tax & Revenue,Transportation,,,,
"
 Passenger Rail and Clean Air Bond Act of 1992",General,1992,Legislative Referendum,Fail (Yes votes: 48.1%),48.10%,Bond Measures,Transportation,,,,
"
 Exempt State Civil Service Position.",Primary,1984,Legislative Referendum,Fail (Yes votes: 48.0%),48.00%,Labor & Employment,State Government,,,,
"
 Fees. Vote Requirements. Taxes. Initiative Constitutional Amendment.",General,2000,Initiative,Fail (Yes votes: 48%),48%,Legislatures,Tax & Revenue,,,,
"
 Qualification of Voters at Bond Elections",General,1914,Initiative,Fail (Yes votes: 48.0%),48.00%,Bond Measures,Civil & Constitutional Law,Elections,,,
"
 Waiting Period and Parental Notification Before Termination of Minor’s Pregnancy. Initiative Constitutional Amendment.",General,2008,Initiative,Fail (Yes votes: 48.0%),48.00%,Abortion,,,,,
"
 Forest Acquisition. Timber Harvesting Practices. Bond Act. Initiative Statute",General,1990,Initiative,Fail (Yes votes: 47.9%),47.90%,Bond Measures,Business & Commerce,Environmental Protection,Natural Resources,,
"
 State, Local Taxation. Initiative Constitutional Amendment.",General,1990,Initiative,Fail (Yes votes: 47.9%),47.90%,Elections,Legislatures,Tax & Revenue,,,
"
 Direct Primary Law2",General,1916,Popular Referendum,Fail (Yes votes: 47.7%),47.70%,Elections,,,,,
"
 Prohibition2",General,1916,Initiative,Fail (Yes votes: 47.7%),47.70%,Business & Commerce,Drug/Alcohol/Tobacco Policy,,,,
"
 Property Taxation. Historic Structure Exemption",General,1984,Legislative Referendum,Fail (Yes votes: 47.7%),47.70%,Tax & Revenue,,,,,
"
 County Charter Provisions for Nomination and Election of Officers",General,1932,Legislative Referendum,Fail (Yes votes: 47.6%),47.60%,Elections,Local Government,,,,
"
 Government Acquisition, Regulation of Private Property. Initiative Constitutional Amendment.",General,2006,Initiative,Fail (Yes votes: 47.6%),47.60%,Land Use/Property Rights,,,,,
"
 Voting Eligibility",General,1954,Legislative Referendum,Fail (Yes votes: 47.6%),47.60%,Civil & Constitutional Law,Elections,,,,
"
 Child Care Facilities Financing Act of 1990",General,1990,Legislative Referendum,Fail (Yes votes: 47.5%),47.50%,Bond Measures,Education: PreK-12,Human Services,,,
"
 Personal Income Taxes3",General,1968,Legislative Referendum,Fail (Yes votes: 47.5%),47.50%,Tax & Revenue,,,,,
"
 Stockholders Liability",General,1918,Legislative Referendum,Fail (Yes votes: 47.5%),47.50%,Banking & Financial Services,,,,,
"
 Assessment of Agricultural Land",General,1962,Legislative Referendum,Fail (Yes votes: 47.4%),47.40%,Agriculture,Tax & Revenue,,,,
"
 Authorizing State And Political Subdivisions to Hold Stock in Mutual Water Corporations",General,1928,Legislative Referendum,Fail (Yes votes: 47.4%),47.40%,Local Government,Natural Resources,State Government,,,
"
 Prohibition3",General,1918,Initiative,Fail (Yes votes: 47.4%),47.40%,Business & Commerce,Drug/Alcohol/Tobacco Policy,,,,
"
 Superior Court Judges",General,1934,Legislative Referendum,Fail (Yes votes: 47.4%),47.40%,Judiciary,,,,,
"
 Waiting Period and Parental Notification Before Termination of Minor's Pregnancy. Initiative Constitutional Amendment.1",General,2005,Initiative,Fail (Yes votes: 47.4%),47.40%,Abortion,,,,,
"
 Limitations on ""Three Strikes"" Law. Sex Crimes. Punishment. Initiative Statute.",General,2004,Initiative,Fail (Yes votes: 47.3%),47.30%,Criminal Justice,,,,,
"
 Prohibiting Tideland Surface Oil Drilling. Authorizing Slant Drilling from Uplands.",General,1936,Initiative,Fail (Yes votes: 47.3%),47.30%,Environmental Protection,Natural Resources,,,,
"
 State School Building Lease-Purchase Bond Law of 1976",Primary,1976,Legislative Referendum,Fail (Yes votes: 47.3%),47.30%,Bond Measures,Education: PreK-12,,,,
"
 Absence of Judicial Officers from State. Authorizing Legislature to Change Number of Superior Judges.",General,1930,Legislative Referendum,Fail (Yes votes: 47.2%),47.20%,Judiciary,,,,,
